City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bambous virieux,40,MU,1524870000,73,-20.34,57.76,75.2,1.12
1,jamestown,0,AU,1524872357,72,-33.21,138.6,57.22,4.27
2,vaini,56,IN,1524872357,93,15.34,74.49,67.75,2.15
3,glens falls,90,US,1524870780,87,43.31,-73.64,50.0,2.37
4,mount isa,0,AU,1524870000,25,-20.73,139.49,73.4,10.29
5,bluff,0,AU,1524872357,56,-23.58,149.07,76.2,6.17
6,antofagasta,75,CL,1524870000,77,-23.65,-70.4,62.6,8.05
7,esperance,20,TT,1524870000,69,10.24,-61.45,80.6,11.41
8,san rafael,0,AR,1524872358,52,-34.61,-68.33,49.2,4.38
9,busselton,0,AU,1524872358,100,-33.64,115.35,60.55,17.69
10,albany,90,US,1524870780,87,42.65,-73.75,50.0,2.26
11,georgetown,40,GY,1524866400,78,6.8,-58.16,80.6,13.87
12,kodiak,75,US,1524869580,24,39.95,-94.76,78.8,13.87
13,rajpipla,0,IN,1524872359,94,21.87,73.5,74.05,7.4
14,tuktoyaktuk,90,CA,1524870000,92,69.44,-133.03,19.4,12.75
15,carnarvon,0,ZA,1524872359,62,-30.97,22.13,37.95,8.41
16,henties bay,0,NA,1524872359,100,-22.12,14.28,60.55,7.4
17,farafangana,88,MG,1524872360,100,-22.82,47.83,73.6,8.41
18,atikokan,8,CA,1524872360,57,48.76,-91.62,40.39,6.73
19,ushuaia,75,AR,1524870000,69,-54.81,-68.31,35.6,14.99
20,isangel,92,VU,1524872360,100,-19.55,169.27,79.17,2.15
21,victoria,75,BN,1524870000,88,5.28,115.24,80.6,2.24
22,cabo san lucas,20,MX,1524868920,35,22.89,-109.91,89.6,21.92
23,svetlogorsk,20,RU,1524870000,75,53.14,59.15,41.0,4.47
24,longyearbyen,75,NO,1524869400,85,78.22,15.63,14.0,1.12
25,khatanga,64,RU,1524872361,85,71.98,102.47,9.15,13.78
26,makakilo city,75,US,1524869820,74,21.35,-158.09,78.8,11.41
27,oksfjord,92,NO,1524869400,80,70.24,22.35,33.8,8.05
28,avarua,75,CK,1524870000,54,-21.21,-159.78,80.6,8.05
29,yulara,12,AU,1524870000,48,-25.24,130.99,66.2,9.17
30,butaritari,76,KI,1524872362,100,3.07,172.79,82.87,10.2
31,port elizabeth,90,US,1524870540,72,39.31,-74.98,62.6,6.93
32,baiyin,0,CN,1524870000,86,36.55,104.13,41.0,4.47
33,qaanaaq,8,GL,1524872362,80,77.48,-69.36,9.87,8.41
34,punta arenas,40,CL,1524870000,92,-53.16,-70.91,30.2,6.93
35,milkovo,0,BG,1524870000,87,41.53,24.68,64.4,12.75
36,teeli,32,RU,1524872362,84,51.01,90.2,22.57,1.59
37,provideniya,40,RU,1524870000,63,64.42,-173.23,30.2,4.47
38,kaeo,92,NZ,1524872363,98,-35.1,173.78,64.32,20.71
39,sakaraha,0,MG,1524872363,80,-22.91,44.53,49.92,2.71
40,saldanha,12,PT,1524872363,66,41.42,-6.55,46.95,5.17
41,boves,0,FR,1524870000,71,49.85,2.39,53.6,20.8
42,mataura,92,NZ,1524872363,100,-46.19,168.86,47.95,15.01
43,byron bay,90,AU,1524870000,88,-28.65,153.62,64.4,11.41
44,vysokogornyy,0,RU,1524872363,46,50.1,139.13,33.55,7.74
45,rikitea,88,PF,1524872364,100,-23.12,-134.97,79.17,4.27
46,portland,90,US,1524869760,81,45.52,-122.67,53.6,12.75
47,touros,68,BR,1524872364,92,-5.2,-35.46,78.9,11.65
48,cape town,75,ZA,1524870000,87,-33.93,18.42,59.0,4.7
49,galesong,20,ID,1524871800,78,-5.32,119.37,80.6,3.36
50,shirokiy,92,RU,1524872364,75,53.87,39.17,47.77,3.38
51,vieste,24,IT,1524872364,97,41.88,16.18,63.42,5.39
52,usinsk,76,RU,1524872365,93,66.0,57.56,34.54,8.97
53,new norfolk,20,AU,1524870000,76,-42.78,147.06,51.8,9.17
54,eureka,90,US,1524869700,76,40.8,-124.16,59.0,3.36
55,lompoc,1,US,1524869880,55,34.64,-120.46,68.0,21.92
56,lobva,92,RU,1524872365,100,59.19,60.52,43.0,4.38
57,aveiro,40,PT,1524870000,71,40.64,-8.65,53.6,10.29
58,adrar,0,DZ,1524870000,23,27.87,-0.29,75.2,6.93
59,chernyshevskiy,92,RU,1524872366,93,63.01,112.47,33.27,5.84
60,port alfred,0,ZA,1524872366,89,-33.59,26.89,66.3,8.19
61,rio hato,88,PA,1524872366,100,8.38,-80.16,76.47,1.7
62,kapaa,40,US,1524869760,74,22.08,-159.32,78.8,11.41
63,mar del plata,68,AR,1524872367,66,-46.43,-67.52,52.45,17.58
64,hilo,20,US,1524869760,65,19.71,-155.08,80.6,16.11
